Input Metric	Output Metric	Neighbours	Minimum Distance	Weights	Model	Av. Accuracy
 euclidean	 chebyshev	60	0.7	0.01	 rf_2	0.703318903
 euclidean	 chebyshev	75	0.5	0.3	 knn_2	0.703174603
 euclidean	 chebyshev	100	0.7	0.5	 knn_2	0.703174603
 euclidean	 chebyshev	45	0.8	1	 knn_2	0.703174603
 euclidean	 chebyshev	45	0.9	1	 knn_2	0.703174603
 euclidean	 chebyshev	60	0.6	0.1	 rf_2	0.703174603
 euclidean	 chebyshev	100	0.25	0.25	 knn_2	0.703030303
 euclidean	 chebyshev	100	0.4	0.7	 knn_2	0.703030303
 euclidean	 chebyshev	60	0.5	0.6	 knn_2	0.703030303
 euclidean	 chebyshev	60	0.6	1	 knn_2	0.703030303
 euclidean	 chebyshev	35	0	0.25	 knn_2	0.702886003
 euclidean	 chebyshev	60	0.25	0.1	 knn_2	0.702886003
 euclidean	 chebyshev	100	0.6	0.6	 knn_2	0.702886003
 euclidean	 chebyshev	75	0.7	0.6	 knn_2	0.702886003
 euclidean	 chebyshev	60	0.7	0.6	 rf_2	0.702886003
 euclidean	 chebyshev	90	0.4	0.2	 knn_2	0.702741703
 euclidean	 chebyshev	20	0.6	0.7	 knn_2	0.702741703
 euclidean	 chebyshev	60	0.5	0.1	 rf_2	0.702741703
 euclidean	 chebyshev	45	0.7	0.3	 knn_2	0.702597403
 euclidean	 chebyshev	20	0.4	0.6	 knn_2	0.702453102
 euclidean	 chebyshev	25	0	0.2	 knn_2	0.702308802
 euclidean	 chebyshev	20	0.2	0.5	 knn_2	0.702308802
 euclidean	 chebyshev	60	0.4	0	 knn_2	0.702308802
 euclidean	 chebyshev	20	0.001	0.25	 knn_2	0.702164502
 euclidean	 chebyshev	15	0.6	0.5	 knn_2	0.700721501
 euclidean	 chebyshev	60	0.7	0.8	 xgboost_2	0.700721501
 euclidean	 chebyshev	60	0.8	1	 knn_2	0.700577201
 euclidean	 chebyshev	60	0.9	1	 knn_2	0.700577201
 euclidean	 chebyshev	75	0.8	0.25	 rf_2	0.700577201
 euclidean	 chebyshev	75	0.9	0.25	 rf_2	0.700577201
 euclidean	 chebyshev	90	0.3	0.8	 knn_2	0.7002886
 euclidean	 chebyshev	100	0	0.8	 nn_2	0.7002886
 euclidean	 chebyshev	45	0.1	0.9	 rf_2	0.7002886
 euclidean	 chebyshev	100	0.01	0.3	 ada_rf_2	0.7001443
 euclidean	 chebyshev	60	0.7	0.8	 ada_rf_2	0.7001443
 euclidean	 chebyshev	75	0.6	0.4	 knn_2	0.7001443
 euclidean	 chebyshev	45	0.7	0.01	 knn_2	0.7001443
 euclidean	 chebyshev	75	0.7	0.5	 knn_2	0.7001443
 euclidean	 chebyshev	75	0.5	0.1	 ada_rf_2	0.7
 euclidean	 chebyshev	15	0.4	0.4	 knn_2	0.7
 euclidean	 chebyshev	90	0.4	0.25	 knn_2	0.7
 euclidean	 chebyshev	60	0.5	0.4	 knn_2	0.7
 euclidean	 chebyshev	100	0.6	0.001	 knn_2	0.7
 euclidean	 chebyshev	15	0.7	0.25	 knn_2	0.7
 euclidean	 chebyshev	15	0.6	0.6	 xgboost_2	0.7
