euclidean, chebyshev, 0, 90, 0.4,  xgboost, 0.6574681238615665
euclidean, chebyshev, 0, 90, 0.4,  knn, 0.6506921675774134
euclidean, chebyshev, 0, 90, 0.5,  rf, 0.6552732240437158
euclidean, chebyshev, 0, 90, 0.5,  ada_rf, 0.658023679417122
euclidean, chebyshev, 0, 100, 0.25,  knn, 0.6625500910746812
euclidean, chebyshev, 0, 100, 0.5,  rf, 0.6773224043715846
euclidean, chebyshev, 0, 100, 0.5,  ada_rf, 0.6778597449908925
euclidean, chebyshev, 0, 100, 0.5,  xgboost, 0.6712021857923497
euclidean, chebyshev, 0, 100, 0.5,  knn, 0.6574408014571949
euclidean, chebyshev, 0.001, 5, 0,  rf, 0.6602550091074681
euclidean, chebyshev, 0.001, 5, 0,  ada_rf, 0.6629508196721311
euclidean, chebyshev, 0.001, 5, 0,  knn, 0.6635610200364299
euclidean, chebyshev, 0.001, 5, 0.001,  knn, 0.6706466302367942
euclidean, chebyshev, 0.001, 5, 0.1,  knn, 0.6661293260473589
euclidean, chebyshev, 0.001, 5, 0.2,  rf, 0.6563661202185792
euclidean, chebyshev, 0.001, 5, 0.2,  ada_rf, 0.6563752276867031
euclidean, chebyshev, 0.001, 5, 0.2,  knn, 0.6774225865209471
euclidean, chebyshev, 0.001, 5, 0.2,  nn, 0.6589981785063752
euclidean, chebyshev, 0.001, 5, 0.25,  knn, 0.6592167577413479
euclidean, chebyshev, 0.001, 5, 0.3,  rf, 0.6563934426229509
euclidean, chebyshev, 0.001, 5, 0.3,  ada_rf, 0.6519581056466303
euclidean, chebyshev, 0.001, 5, 0.9,  rf, 0.6656830601092896
euclidean, chebyshev, 0.001, 5, 0.9,  ada_rf, 0.6524316939890711
euclidean, chebyshev, 0.001, 5, 0.9,  knn, 0.6899453551912569
euclidean, chebyshev, 0.001, 10, 0.001,  rf, 0.6950546448087431
euclidean, chebyshev, 0.001, 10, 0.001,  ada_rf, 0.6933788706739527
euclidean, chebyshev, 0.001, 10, 0.001,  xgboost, 0.6751730418943533
euclidean, chebyshev, 0.001, 10, 0.001,  knn, 0.6552914389799636
euclidean, chebyshev, 0.001, 10, 0.001,  nn, 0.6585245901639344
euclidean, chebyshev, 0.001, 10, 0.4,  knn, 0.6558105646630237
euclidean, chebyshev, 0.001, 10, 0.5,  knn, 0.6611020036429872
euclidean, chebyshev, 0.001, 15, 0.1,  rf, 0.6569854280510018
euclidean, chebyshev, 0.001, 15, 0.1,  ada_rf, 0.6597449908925319
euclidean, chebyshev, 0.001, 15, 0.2,  knn, 0.6545355191256831
euclidean, chebyshev, 0.001, 15, 0.5,  knn, 0.675783242258652
euclidean, chebyshev, 0.001, 15, 0.6,  knn, 0.6558834244080145
euclidean, chebyshev, 0.001, 15, 0.7,  knn, 0.6630145719489982
euclidean, chebyshev, 0.001, 15, 0.8,  knn, 0.666247723132969
euclidean, chebyshev, 0.001, 15, 0.9,  knn, 0.6541256830601093
