label,Dim1,Dim2
0.0,-14.642451286315918,6.806457042694092
1.0,-14.58842658996582,6.773484230041504
4.0,-14.641386032104492,6.722122669219971
3.0,-14.572443008422852,6.805171489715576
4.0,-14.59278392791748,6.792276382446289
4.0,-14.479475975036621,6.775466442108154
4.0,-14.529757499694824,6.78085470199585
4.0,-14.624062538146973,6.872221946716309
4.0,-14.550320625305176,6.791526794433594
4.0,-14.687711715698242,6.80842924118042
0.0,-14.723479270935059,6.801908493041992
4.0,-14.603538513183594,6.766218185424805
0.0,-14.578024864196777,6.833288669586182
4.0,-14.625482559204102,6.7760396003723145
0.0,-14.62364387512207,6.750235557556152
1.0,-14.741716384887695,6.796967506408691
0.0,-14.59782600402832,6.827578067779541
3.0,-14.636347770690918,6.821926116943359
4.0,-14.645286560058594,6.811642169952393
4.0,-14.526517868041992,6.777667999267578
0.0,-14.627175331115723,6.798598289489746
3.0,-14.637868881225586,6.830943584442139
3.0,-14.68593692779541,6.699290752410889
4.0,-14.70434284210205,6.881099700927734
4.0,-14.661113739013672,6.812044143676758
4.0,-14.563811302185059,6.848974704742432
1.0,-14.576730728149414,6.8128557205200195
1.0,-14.533170700073242,6.79362154006958
4.0,-14.603029251098633,6.86246919631958
0.0,-14.639442443847656,6.779251575469971
4.0,-14.72215461730957,6.885312557220459
0.0,-14.446636199951172,6.801865100860596
3.0,-14.582828521728516,6.80246114730835
0.0,-14.622648239135742,6.860057830810547
1.0,-14.694193840026855,6.868814945220947
4.0,-14.544408798217773,6.806827545166016
1.0,-14.644876480102539,6.8225860595703125
4.0,-14.80605411529541,6.800665855407715
0.0,-14.480372428894043,6.777944564819336
4.0,-14.56065559387207,6.732272624969482
4.0,-14.606039047241211,6.871102809906006
1.0,-14.558490753173828,6.760129928588867
3.0,-14.616388320922852,6.853569030761719
3.0,-14.545172691345215,6.753518104553223
3.0,-14.585233688354492,6.793725490570068
3.0,-14.647980690002441,6.866496562957764
1.0,-14.549263000488281,6.828249454498291
1.0,-14.5004301071167,6.789567947387695
4.0,-14.52458667755127,6.741564750671387
0.0,-14.727609634399414,6.776463508605957
3.0,-14.515155792236328,6.746161460876465
4.0,-14.53156566619873,6.809865474700928
4.0,-14.665688514709473,6.749665260314941
3.0,-14.579658508300781,6.7911272048950195
4.0,-14.499279022216797,6.704939842224121
0.0,-14.652193069458008,6.829904556274414
1.0,-14.639017105102539,6.824556350708008
0.0,-14.809649467468262,6.814606666564941
3.0,-14.464673042297363,6.7650580406188965
0.0,-14.649595260620117,6.817077159881592
4.0,-14.476551055908203,6.786783695220947
4.0,-14.53176212310791,6.842564582824707
3.0,-14.671685218811035,6.819647312164307
4.0,-14.656908988952637,6.773674488067627
3.0,-14.490249633789062,6.723160743713379
3.0,-14.571954727172852,6.81602144241333
4.0,-14.486299514770508,6.765060901641846
1.0,-14.563819885253906,6.737274646759033
1.0,-14.516022682189941,6.867813587188721
4.0,-14.508362770080566,6.789111137390137
4.0,-14.573004722595215,6.694753170013428
3.0,-14.680540084838867,6.829153537750244
1.0,-14.613144874572754,6.7123703956604
1.0,-14.580652236938477,6.7851786613464355
4.0,-14.574362754821777,6.828330993652344
