,Model,Neighbours,Distance,Weight,Trustworthiness,Accuracy,Bal. Accuracy,Cohen K,Matt. Corr. Coef
75,rf,15,0.4,0.1,0.9887497180590948,0.6903225806451613 +/- 0.03803222132171809,0.6342447675781009 +/- 0.05039480432770792,0.4957198459342924 +/- 0.027443002210839996,0.5018499394382308 +/- 0.02685958284692013
76,ada_rf,15,0.4,0.1,0.9887497180590948,0.6896057347670251 +/- 0.042613416202237436,0.6363557353140686 +/- 0.05500138981870151,0.4884567222646798 +/- 0.022405952479542555,0.49369572481761287 +/- 0.022185886943343777
77,nn,15,0.4,0.1,0.9887497180590948,0.728673835125448 +/- 0.04806122155548594,0.674512062012062 +/- 0.07101630805735099,0.4099184904581881 +/- 0.02700786242287805,0.420571131787495 +/- 0.02754912692347549
78,knn,15,0.4,0.1,0.9887497180590948,0.6408602150537634 +/- 0.04452291723503142,0.591763830305497 +/- 0.06553254747711466,0.44070858359526727 +/- 0.022795274871923645,0.4509929136180243 +/- 0.022302317275842226
79,xg,15,0.4,0.1,0.9887497180590948,0.6802867383512545 +/- 0.03469170398843687,0.6263049065132399 +/- 0.05441910542428111,0.4850639854723864 +/- 0.026372511038466936,0.49182332809104967 +/- 0.026285459735297282
80,rf,15,0.4,0.2,0.9855938035387782,0.7189964157706094 +/- 0.04945537934358147,0.6794687950937951 +/- 0.057149158795507124,0.5524240467912975 +/- 0.02534963253911259,0.5565827540253682 +/- 0.02507224450173423
81,ada_rf,15,0.4,0.2,0.9855938035387782,0.717562724014337 +/- 0.04499796847736509,0.680133369716703 +/- 0.054466902140833905,0.5225917343213089 +/- 0.025125881411505745,0.527173975610976 +/- 0.024947753930354588
82,nn,15,0.4,0.2,0.9855938035387782,0.7075268817204301 +/- 0.04115383448117824,0.6825913284246617 +/- 0.062441160248109785,0.48427630968207824 +/- 0.024977122372118743,0.4879927639012943 +/- 0.02488357235466415
83,knn,15,0.4,0.2,0.9855938035387782,0.6860215053763441 +/- 0.045479746594080106,0.6393644935311602 +/- 0.059585354010750644,0.4394340528452076 +/- 0.023628804597773573,0.4435197366603453 +/- 0.023274720930546184
84,xg,15,0.4,0.2,0.9855938035387782,0.7161290322580646 +/- 0.04593333411624845,0.6649165263748597 +/- 0.0600292303814317,0.5465793971762428 +/- 0.02822198693608476,0.5504281844371337 +/- 0.028258422968834324
85,rf,15,0.4,0.3,0.9865574415602489,0.7569892473118279 +/- 0.03214663736273805,0.7016510881094215 +/- 0.04941502387308023,0.6209818123490757 +/- 0.021206836085758962,0.6239736320662435 +/- 0.021137647457366234
86,ada_rf,15,0.4,0.3,0.9865574415602489,0.7573476702508961 +/- 0.04137444824758918,0.7054654065070731 +/- 0.053826350942825445,0.6573684183617922 +/- 0.0237987949120619,0.6601683840110442 +/- 0.02325723756299613
87,nn,15,0.4,0.3,0.9865574415602489,0.7566308243727599 +/- 0.04845776846472342,0.7046877890627891 +/- 0.07525089390985308,0.5349464702478244 +/- 0.025888261216795612,0.5549578292159737 +/- 0.024222910925916438
88,knn,15,0.4,0.3,0.9865574415602489,0.7154121863799283 +/- 0.04128280325386512,0.6580567965984633 +/- 0.0528767526453669,0.5724822919223349 +/- 0.02931628540904904,0.5783430698098747 +/- 0.028446225337642427
89,xg,15,0.4,0.3,0.9865574415602489,0.7462365591397849 +/- 0.03533693919388167,0.677805951764285 +/- 0.051179447937850564,0.6333193466334966 +/- 0.022621874106979356,0.6369377015508261 +/- 0.022675532569590547
90,rf,15,0.4,0.4,0.980575303416404,0.8358422939068101 +/- 0.0334036281214792,0.7939376595626595 +/- 0.04844713463795874,0.6800333288620981 +/- 0.020329394342745163,0.6815697598799678 +/- 0.020222653276569802
91,ada_rf,15,0.4,0.4,0.980575303416404,0.8376344086021505 +/- 0.03297316390940613,0.7999749093499093 +/- 0.04533364017028224,0.6718658559318935 +/- 0.021523395228783115,0.6731001362833274 +/- 0.021515149040834985
92,nn,15,0.4,0.4,0.980575303416404,0.8060931899641577 +/- 0.03783076413679792,0.7712549410466077 +/- 0.05022003354933463,0.5925605179887453 +/- 0.01926149682576608,0.6187630784732036 +/- 0.018352265391074513
